vel,flux,err
2.909494e+02,4.437572e-03,3.000000e-04
2.982651e+02,4.208836e-03,3.000000e-04
3.048491e+02,4.436430e-03,3.000000e-04
3.121648e+02,3.673909e-03,3.000000e-04
3.187489e+02,3.130269e-03,3.000000e-04
3.260645e+02,2.717520e-03,3.000000e-04
3.326486e+02,2.171754e-03,3.000000e-04
3.399642e+02,2.306721e-03,3.000000e-04
3.472799e+02,2.120036e-03,3.000000e-04
3.538640e+02,1.342130e-03,3.000000e-04
3.611796e+02,1.320351e-03,3.000000e-04
3.677637e+02,7.539977e-04,3.000000e-04
3.750793e+02,7.986295e-04,3.000000e-04
3.823950e+02,9.281461e-04,3.000000e-04
3.889791e+02,1.056496e-03,3.000000e-04
3.962947e+02,8.029196e-04,3.000000e-04
4.028788e+02,4.818018e-04,3.000000e-04
4.101944e+02,6.883088e-04,3.000000e-04
4.167785e+02,-3.251453e-04,3.000000e-04
4.240942e+02,3.276806e-04,3.000000e-04
4.314098e+02,7.303065e-04,3.000000e-04
4.379939e+02,2.645111e-04,3.000000e-04
4.453095e+02,1.122387e-04,3.000000e-04
4.518936e+02,3.610330e-04,3.000000e-04
4.592093e+02,6.207061e-04,3.000000e-04
4.657934e+02,-2.581102e-04,3.000000e-04
4.731090e+02,-2.152129e-04,3.000000e-04
4.804247e+02,3.900894e-05,3.000000e-04
4.870087e+02,-3.600772e-05,3.000000e-04
4.943244e+02,2.825979e-04,3.000000e-04
5.009085e+02,-3.277872e-04,3.000000e-04
5.082241e+02,-2.195565e-04,3.000000e-04
5.155398e+02,-4.794002e-05,3.000000e-04
5.221238e+02,-2.483233e-04,3.000000e-04
5.294395e+02,-4.527247e-05,3.000000e-04
5.360236e+02,-9.083669e-05,3.000000e-04
5.433392e+02,-2.781348e-04,3.000000e-04
5.506549e+02,8.799415e-05,3.000000e-04
5.572389e+02,5.157557e-04,3.000000e-04
5.645546e+02,2.782399e-05,3.000000e-04
5.711387e+02,-5.967473e-04,3.000000e-04
5.784543e+02,-4.100573e-04,3.000000e-04
5.850384e+02,5.013807e-04,3.000000e-04
5.923540e+02,9.043966e-05,3.000000e-04
5.996697e+02,4.652529e-04,3.000000e-04
6.062538e+02,1.940620e-04,3.000000e-04
6.135694e+02,6.787135e-06,3.000000e-04
6.201535e+02,5.801495e-04,3.000000e-04
6.274691e+02,-1.587104e-04,3.000000e-04
6.347848e+02,5.731913e-04,3.000000e-04
6.413689e+02,-3.418039e-05,3.000000e-04
6.486845e+02,2.083097e-04,3.000000e-04
6.552686e+02,-4.420013e-04,3.000000e-04
6.625842e+02,-6.411829e-05,3.000000e-04
6.698999e+02,-4.225511e-04,3.000000e-04
6.764840e+02,-1.029883e-04,3.000000e-04
6.837996e+02,-1.196183e-04,3.000000e-04
